#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35          -0.028          -0.088     -0.33317527    -0.065372664    -0.057562843               0
           0.35          -0.024          -0.088     -0.33777215    -0.056391156    -0.054697229               0
           0.35           -0.02          -0.088     -0.34342348    -0.047492464    -0.052532159               0
           0.35          -0.016          -0.088     -0.34939215    -0.038620448    -0.050953394               0
           0.35          -0.012          -0.088     -0.35491427    -0.029726237    -0.049842682               0
           0.35          -0.008          -0.088     -0.35926601    -0.020769836    -0.049089771               0
           0.35          -0.004          -0.088      -0.3618435    -0.011732868    -0.048613599               0
           0.35               0          -0.088     -0.36221156   -0.0025956605    -0.048373258               0
           0.35           0.004          -0.088     -0.36022209    0.0066056931    -0.048373134               0
           0.35           0.008          -0.088     -0.35615716     0.015809443     -0.04865411               0
           0.35           0.012          -0.088     -0.35060768      0.02501286    -0.049270892               0
           0.35           0.016          -0.088     -0.34430685     0.034230039    -0.050300965               0
           0.35            0.02          -0.088     -0.33806742     0.043489705     -0.05184579               0
           0.35           0.024          -0.088     -0.33269924     0.052831591    -0.054011363               0
           0.35           0.028          -0.088     -0.32893577     0.062299828    -0.056897786               0
           0.35           0.032          -0.088     -0.32737231     0.071937272    -0.060592586               0
           0.35           0.036          -0.088     -0.32842163     0.081779812    -0.065163199               0
           0.35            0.04          -0.088     -0.33229026     0.091851496     -0.07064224               0
           0.35           0.044          -0.088     -0.33898618      0.10215335     -0.07700686               0
           0.35           0.048          -0.088     -0.34825783      0.11264582    -0.084201133               0
           0.35           0.052          -0.088     -0.35949441      0.12324057    -0.092149886               0
           0.35           0.056          -0.088     -0.37173086      0.13378274     -0.10072214               0
           0.35            0.06          -0.088     -0.38365728      0.14401907     -0.10974443               0
           0.35           0.064          -0.088     -0.39360281      0.15357972      -0.1190234               0
           0.35           0.068          -0.088     -0.39956256      0.16197248     -0.12834765               0
           0.35           0.072          -0.088     -0.39927871      0.16859211     -0.13748863               0
           0.35           0.076          -0.088     -0.39038391      0.17272855     -0.14616352               0
           0.35            0.08          -0.088     -0.37049637      0.17351302     -0.15396743               0
           0.35           0.084          -0.088      -0.3366586      0.16989477     -0.16039199               0
           0.35           0.088          -0.088     -0.28339824      0.16067973     -0.16442664               0
           0.35           0.092          -0.088     -0.20049391      0.14074715      -0.1634144               0
           0.35           0.096          -0.088    -0.052655991      0.11018243     -0.15381883               0
           0.35             0.1          -0.088     0.022377181     0.046760115    -0.073339768     0.021690288
           0.35          -0.096          -0.084     -0.11195691     -0.10472709     -0.16288508               0
           0.35            -0.1          -0.084   -0.0076324143     -0.04394173    -0.076721285     0.020529918
           0.35          -0.092          -0.084     -0.25541588     -0.13490123     -0.17484948               0
           0.35          -0.088          -0.084     -0.32947501     -0.15459218     -0.17636995               0
           0.35          -0.084          -0.084      -0.3724971     -0.16445318     -0.17300622               0
           0.35           -0.08          -0.084     -0.39566757      -0.1685084     -0.16660677               0
           0.35          -0.076          -0.084     -0.40400221      -0.1679333     -0.15824757               0
           0.35          -0.072          -0.084     -0.40065404     -0.16398046     -0.14875922               0
           0.35          -0.068          -0.084     -0.38863826     -0.15755669     -0.13867411               0
           0.35          -0.064          -0.084     -0.37091579     -0.14942244     -0.12835777               0
           0.35           -0.06          -0.084     -0.35019404     -0.14020913     -0.11809118               0
           0.35          -0.056          -0.084     -0.32875854      -0.1304072     -0.10811937               0
           0.35          -0.052          -0.084      -0.3084114     -0.12037008    -0.098644581               0
           0.35          -0.048          -0.084     -0.29044793     -0.11033576    -0.089856126               0
