#             x               y               z             U_x             U_y             U_z               p
           0.35           -0.09          -0.058     -0.36251968    -0.020359141     -0.06358314     -0.14802189
           0.35           -0.09          -0.054     -0.34171188    -0.017449269    -0.065408253     -0.14832534
           0.35           -0.09           -0.05     -0.31961688    -0.014676143    -0.066891955     -0.14836255
           0.35           -0.09          -0.046     -0.29624548    -0.012269194    -0.067925275     -0.14819145
           0.35           -0.09          -0.042     -0.27156246    -0.010447378    -0.068373778     -0.14786539
           0.35           -0.09          -0.038     -0.24554259   -0.0093443524    -0.068071779     -0.14743227
           0.35           -0.09          -0.034     -0.21828285   -0.0089671599    -0.066852512     -0.14691561
           0.35           -0.09           -0.03     -0.19013137   -0.0092222161    -0.064494222     -0.14627381
           0.35           -0.09          -0.026     -0.16155642    -0.010094484    -0.060790847     -0.14553557
           0.35           -0.09          -0.022     -0.13314528    -0.011500074    -0.055670033     -0.14480316
           0.35           -0.09          -0.018     -0.10556694    -0.013254785    -0.049166472      -0.1441037
           0.35           -0.09          -0.014    -0.079577079     -0.01514302    -0.041340539     -0.14345768
           0.35           -0.09           -0.01    -0.055968202    -0.016944768    -0.032302524      -0.1428905
           0.35           -0.09          -0.006    -0.035510795    -0.018446643    -0.022171727     -0.14241608
           0.35           -0.09          -0.002    -0.018905817    -0.019521469    -0.011077536     -0.14208617
           0.35           -0.09           0.002   -0.0067468734    -0.020134729   0.00076246936     -0.14197912
           0.35           -0.09           0.006    0.0004617747    -0.020243301     0.013050002     -0.14211734
           0.35           -0.09            0.01    0.0023282184     -0.01982989      0.02544666     -0.14251746
           0.35           -0.09           0.014   -0.0013789203    -0.018849527     0.037608163     -0.14316684
           0.35           -0.09           0.018    -0.010732203    -0.017247779     0.049259352     -0.14398555
           0.35           -0.09           0.022    -0.025587229    -0.015119712     0.060164711     -0.14495991
           0.35           -0.09           0.026     -0.04558964    -0.012630698     0.070048631      -0.1460689
           0.35           -0.09            0.03    -0.070210131   -0.0099687534     0.078655829     -0.14726637
           0.35           -0.09           0.034    -0.098735567   -0.0073202317     0.085788727     -0.14847785
           0.35           -0.09           0.038     -0.13026813   -0.0049182571      0.09133982     -0.14964959
           0.35           -0.09           0.042     -0.16386486   -0.0030569434     0.095193744     -0.15081792
           0.35           -0.09           0.046     -0.19865112   -0.0018547975     0.097352392     -0.15183625
           0.35           -0.09            0.05     -0.23378029   -0.0012891003     0.097894366     -0.15265778
           0.35           -0.09           0.054     -0.26849935   -0.0015710125      0.09695329     -0.15330658
           0.35           -0.09           0.058     -0.30218415   -0.0026818108     0.094610554     -0.15372776
           0.35           -0.09           0.062     -0.33432662   -0.0044243334     0.090981187      -0.1538164
           0.35           -0.09           0.066      -0.3644369   -0.0065878915     0.086189631      -0.1534901
           0.35           -0.09            0.07      -0.3919932   -0.0089499698     0.080316439     -0.15271663
           0.35           -0.09           0.074     -0.41636151    -0.011303806     0.073356892     -0.15150074
           0.35           -0.09           0.078     -0.43675796    -0.013505563     0.065197995     -0.14990037
           0.35           -0.09           0.082     -0.45221247    -0.015499611      0.05567486     -0.14800689
           0.35           -0.09           0.086     -0.46162959    -0.017498592     0.044531993     -0.14600915
           0.35           -0.09            0.09     -0.46405652    -0.019905044     0.031644473     -0.14401796
           0.35           -0.09           0.094     -0.45733385     -0.02343467     0.017894318     -0.14199547
           0.35           -0.09           0.098     -0.42093523    -0.024179507    0.0036386314     -0.14061536
           0.35          -0.086          -0.098     -0.41471262    -0.031322801   -0.0040766857     -0.13608693
           0.35          -0.086          -0.094     -0.44911565    -0.035847633    -0.016785962     -0.13733632
           0.35          -0.086           -0.09     -0.45313871    -0.036496876    -0.026692489     -0.13938638
           0.35          -0.086          -0.086     -0.44872064    -0.037160518    -0.035145361     -0.14125754
           0.35          -0.086          -0.082     -0.43919725    -0.037485773    -0.041796399     -0.14310277
           0.35          -0.086          -0.078     -0.42578368     -0.03716744    -0.047116733     -0.14487432
           0.35          -0.086          -0.074     -0.40938114    -0.036029882    -0.051449946     -0.14647678
           0.35          -0.086           -0.07     -0.39066175    -0.034101161    -0.055048761     -0.14783987
           0.35          -0.086          -0.066     -0.37009533    -0.031503676    -0.058091746      -0.1489164
           0.35          -0.086          -0.062     -0.34798396    -0.028428381    -0.060692295     -0.14968883
           0.35          -0.086          -0.058     -0.32449882    -0.025100037    -0.062909129     -0.15015784
           0.35          -0.086          -0.054     -0.29971472    -0.021760041    -0.064739203     -0.15033868
           0.35          -0.086           -0.05     -0.27364186     -0.01865808    -0.066119623      -0.1502613
           0.35          -0.086          -0.046     -0.24625219    -0.016045509    -0.066943513      -0.1499767
           0.35          -0.086          -0.042     -0.21751352     -0.01413444    -0.067084644      -0.1495458
           0.35          -0.086          -0.038     -0.18744919    -0.013059242    -0.066415655     -0.14901853
           0.35          -0.086          -0.034     -0.15621071    -0.012845449    -0.064805998     -0.14841323
           0.35          -0.086           -0.03     -0.12412433    -0.013419149    -0.062095332     -0.14771386
           0.35          -0.086          -0.026    -0.091646389    -0.014699143    -0.058145456      -0.1469596
           0.35          -0.086          -0.022    -0.059363535    -0.016562939    -0.052910097     -0.14620261
           0.35          -0.086          -0.018    -0.027986006    -0.018807438    -0.046414263     -0.14547415
           0.35          -0.086          -0.014    0.0016793551    -0.021195738    -0.038713701     -0.14479694
           0.35          -0.086           -0.01     0.028765364    -0.023477513    -0.029898593     -0.14420484
           0.35          -0.086          -0.006     0.052404519    -0.025431813    -0.020068914     -0.14372577
           0.35          -0.086          -0.002     0.071776243    -0.026895958   -0.0093460849      -0.1434021
           0.35          -0.086           0.002     0.086108371    -0.027759802    0.0020824096     -0.14328609
           0.35          -0.086           0.006      0.09471043    -0.027930119     0.013954329      -0.1434082
           0.35          -0.086            0.01     0.097054311    -0.027365617     0.025961623     -0.14378117
           0.35          -0.086           0.014     0.092841439    -0.026056357     0.037785566     -0.14438942
           0.35          -0.086           0.018      0.08198416    -0.023995908     0.049135411     -0.14519839
           0.35          -0.086           0.022     0.064688508    -0.021276558      0.05973047     -0.14618968
           0.35          -0.086           0.026     0.041439646    -0.018087738     0.069293493     -0.14732206
           0.35          -0.086            0.03     0.012934487    -0.014662327     0.077603479     -0.14853973
           0.35          -0.086           0.034    -0.019955505    -0.011235358     0.084497769     -0.14978052
           0.35          -0.086           0.038    -0.056225944   -0.0080796709     0.089886606     -0.15098414
           0.35          -0.086           0.042     -0.09482701      -0.0054896     0.093715809      -0.1521359
           0.35          -0.086           0.046     -0.13476037    -0.003641566     0.095979137     -0.15318212
           0.35          -0.086            0.05      -0.1751081   -0.0026396964      0.09675659     -0.15405477
           0.35          -0.086           0.054        -0.21507    -0.002627474     0.096138239     -0.15476577
