#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.086          -0.022    -0.035719777    -0.020942594    -0.037085857     -0.14041514
           0.35          -0.086          -0.018    -0.019682977    -0.022626149    -0.029889471     -0.13988549
           0.35          -0.086          -0.014   -0.0074810204    -0.023987587    -0.021768808     -0.13948933
           0.35          -0.086           -0.01   0.00045498748    -0.024859204    -0.012949913     -0.13925808
           0.35          -0.086          -0.006    0.0038250649     -0.02514995   -0.0037324026      -0.1392216
           0.35          -0.086          -0.002    0.0025161031     -0.02483203    0.0055472954     -0.13938383
           0.35          -0.086           0.002    -0.003385842    -0.023955257     0.014553536     -0.13974282
           0.35          -0.086           0.006    -0.013612065    -0.022621617     0.022989142     -0.14027937
           0.35          -0.086            0.01    -0.027767544    -0.020966067     0.030642096     -0.14095094
           0.35          -0.086           0.014    -0.045347002    -0.019165915     0.037365822     -0.14173989
           0.35          -0.086           0.018    -0.065757169    -0.017444427     0.043057291     -0.14261516
           0.35          -0.086           0.022    -0.088390682     -0.01603139     0.047684175     -0.14354696
           0.35          -0.086           0.026     -0.11267278    -0.015115169     0.051265425     -0.14451243
           0.35          -0.086            0.03     -0.13808371    -0.014843127     0.053858414     -0.14548166
           0.35          -0.086           0.034     -0.16417527     -0.01528501     0.055564428     -0.14641578
           0.35          -0.086           0.038     -0.19058497    -0.016461486     0.056518814      -0.1472718
           0.35          -0.086           0.042     -0.21702902    -0.018332762     0.056864381     -0.14801032
           0.35          -0.086           0.046     -0.24324844    -0.020792824     0.056745112     -0.14857136
           0.35          -0.086            0.05      -0.2690277    -0.023726983     0.056276771     -0.14895326
           0.35          -0.086           0.054     -0.29425114    -0.026938325     0.055523183       -0.149103
           0.35          -0.086           0.058     -0.31882276    -0.030205041     0.054523584      -0.1489825
           0.35          -0.086           0.062     -0.34260417    -0.033296295     0.053270584     -0.14856539
           0.35          -0.086           0.066     -0.36538568    -0.035981085      0.05170903     -0.14783587
           0.35          -0.086            0.07     -0.38686454    -0.038044637     0.049736342      -0.1467948
           0.35          -0.086           0.074     -0.40662088    -0.039310548      0.04720499     -0.14546242
           0.35          -0.086           0.078     -0.42408416    -0.039667294     0.043907865     -0.14388725
           0.35          -0.086           0.082     -0.43850197    -0.039096927     0.039570169     -0.14213877
           0.35          -0.086           0.086     -0.44889742    -0.037789241     0.033824351     -0.14031847
           0.35          -0.086            0.09     -0.45400295    -0.036080605     0.026153982     -0.13848982
           0.35          -0.086           0.094       -0.450498    -0.034390307     0.016837369     -0.13648568
           0.35          -0.086           0.098     -0.41612929    -0.029160474    0.0043168334      -0.1352367
           0.35          -0.082          -0.098       -0.433605    -0.039945583   -0.0060071161     -0.13582113
           0.35          -0.082          -0.094     -0.44610966    -0.043123918    -0.015665558     -0.13785197
           0.35          -0.082           -0.09     -0.43115716    -0.043381745    -0.022783414      -0.1403516
           0.35          -0.082          -0.086     -0.41095745    -0.043221704    -0.028864625     -0.14235299
           0.35          -0.082          -0.082     -0.38765553    -0.042536604    -0.033839642     -0.14410526
           0.35          -0.082          -0.078     -0.36197093    -0.041153971    -0.038122391     -0.14557067
           0.35          -0.082          -0.074     -0.33444111    -0.039039779    -0.041904862     -0.14671748
           0.35          -0.082           -0.07     -0.30548671    -0.036296711    -0.045300279     -0.14752293
           0.35          -0.082          -0.066     -0.27545438    -0.033125508    -0.048362523     -0.14798342
           0.35          -0.082          -0.062     -0.24461791    -0.029785326    -0.051095141     -0.14811778
           0.35          -0.082          -0.058      -0.2131909    -0.026556746    -0.053457548     -0.14796071
           0.35          -0.082          -0.054     -0.18135278    -0.023711515    -0.055368435     -0.14755751
           0.35          -0.082           -0.05     -0.14928186    -0.021486311    -0.056715581     -0.14696056
           0.35          -0.082          -0.046      -0.1172024    -0.020051576    -0.057364125     -0.14621987
           0.35          -0.082          -0.042    -0.085416409    -0.019486071    -0.057155822     -0.14537083
           0.35          -0.082          -0.038    -0.054308798    -0.019783939    -0.055924371     -0.14444993
           0.35          -0.082          -0.034    -0.024356038    -0.020869078    -0.053526969     -0.14349959
           0.35          -0.082           -0.03     0.003871472    -0.022586079    -0.049865654     -0.14256492
           0.35          -0.082          -0.026      0.02970238    -0.024701493    -0.044897213     -0.14168431
           0.35          -0.082          -0.022     0.052400201    -0.026923956    -0.038677672     -0.14091225
           0.35          -0.082          -0.018     0.071238875     -0.02901507    -0.031320151     -0.14025745
           0.35          -0.082          -0.014     0.085577926     -0.03070901    -0.022981267     -0.13976325
           0.35          -0.082           -0.01     0.094866356    -0.031791343    -0.013914593     -0.13947479
           0.35          -0.082          -0.006     0.098721315    -0.032132928   -0.0044465257     -0.13942182
           0.35          -0.082          -0.002     0.097004263    -0.031697065    0.0050654838     -0.13961134
           0.35          -0.082           0.002     0.089851181    -0.030547275     0.014269516     -0.14003398
           0.35          -0.082           0.006      0.07763307    -0.028828373     0.022860118     -0.14066328
           0.35          -0.082            0.01     0.060865113    -0.026736877     0.030624916      -0.1414491
           0.35          -0.082           0.014     0.040163139    -0.024475006     0.037414089     -0.14238345
           0.35          -0.082           0.018       0.0162855    -0.022304673     0.043123823     -0.14341466
           0.35          -0.082           0.022    -0.010047274    -0.020492657      0.04773723     -0.14449628
           0.35          -0.082           0.026    -0.038183079    -0.019240289     0.051285092     -0.14560951
           0.35          -0.082            0.03    -0.067531664    -0.018716451     0.053830592     -0.14671642
           0.35          -0.082           0.034    -0.097599179    -0.019009818     0.055473431     -0.14778275
           0.35          -0.082           0.038     -0.12798827    -0.020145555     0.056336979     -0.14876873
           0.35          -0.082           0.042     -0.15839209    -0.022079908     0.056554005     -0.14963345
           0.35          -0.082           0.046     -0.18856544    -0.024702867     0.056257284     -0.15032719
           0.35          -0.082            0.05     -0.21831504    -0.027870019      0.05555787     -0.15082372
           0.35          -0.082           0.054      -0.2475133    -0.031376213     0.054532591     -0.15107755
           0.35          -0.082           0.058     -0.27605926    -0.034985984     0.053234163     -0.15104882
           0.35          -0.082           0.062     -0.30383278    -0.038454165     0.051681918     -0.15070741
           0.35          -0.082           0.066     -0.33066306    -0.041540949     0.049856984     -0.15003482
           0.35          -0.082            0.07     -0.35630626    -0.044030988      0.04770261     -0.14902819
           0.35          -0.082           0.074     -0.38042288    -0.045751227     0.045120385     -0.14770457
           0.35          -0.082           0.078     -0.40254623     -0.04659738     0.041958425      -0.1461038
           0.35          -0.082           0.082     -0.42205147    -0.046565737     0.037987991     -0.14428901
           0.35          -0.082           0.086     -0.43809904    -0.045816651     0.032880165     -0.14232772
           0.35          -0.082            0.09     -0.44948248    -0.044663868     0.026064265     -0.14026003
           0.35          -0.082           0.094     -0.45282372    -0.043395139     0.017603756     -0.13783781
           0.35          -0.082           0.098     -0.42411144    -0.038437614    0.0053848024     -0.13619029
           0.35          -0.078          -0.098     -0.43449132    -0.046175328   -0.0068655337     -0.13722808
           0.35          -0.078          -0.094     -0.43523819    -0.049014564    -0.015324212     -0.13955063
           0.35          -0.078           -0.09     -0.41334436    -0.049109038     -0.02198777     -0.14208809
           0.35          -0.078          -0.086     -0.38773894    -0.048612652    -0.027684372     -0.14411224
           0.35          -0.078          -0.082     -0.35968058    -0.047547583    -0.032505339     -0.14585588
           0.35          -0.078          -0.078      -0.3295533    -0.045796044    -0.036821187      -0.1472958
           0.35          -0.078          -0.074     -0.29770734    -0.043353762    -0.040790376     -0.14840846
           0.35          -0.078           -0.07      -0.2644491    -0.040329506    -0.044487789     -0.14917233
           0.35          -0.078          -0.066     -0.23005417    -0.036927141    -0.047926054     -0.14958356
           0.35          -0.078          -0.062      -0.1947539    -0.033411181    -0.051071931      -0.1496581
           0.35          -0.078          -0.058     -0.15874102    -0.030070764    -0.053853271     -0.14942698
           0.35          -0.078          -0.054     -0.12219029    -0.027187388    -0.056164678     -0.14893125
           0.35          -0.078           -0.05    -0.085288681    -0.025005105    -0.057876004     -0.14821881
           0.35          -0.078          -0.046    -0.048274694    -0.023700545    -0.058838247     -0.14733585
           0.35          -0.078          -0.042    -0.011466637    -0.023359104    -0.058887494     -0.14632261
           0.35          -0.078          -0.038     0.024711349      -0.0239677    -0.057858885     -0.14522307
           0.35          -0.078          -0.034     0.059722037    -0.025437823      -0.0556135     -0.14407678
           0.35          -0.078           -0.03     0.092894583    -0.027600138     -0.05204336      -0.1429316
           0.35          -0.078          -0.026      0.12346852    -0.030200047    -0.047082732     -0.14183022
           0.35          -0.078          -0.022      0.15045514    -0.032897044    -0.040779527     -0.14088449
           0.35          -0.078          -0.018      0.17288609    -0.035397543    -0.033241174     -0.14002981
           0.35          -0.078          -0.014      0.19000635    -0.037398259    -0.024613989     -0.13935588
           0.35          -0.078           -0.01      0.20104658    -0.038657935    -0.015194041     -0.13895133
           0.35          -0.078          -0.006      0.20547845     -0.03902818   -0.0053506789     -0.13886435
           0.35          -0.078          -0.002      0.20312763    -0.038468918    0.0045176547     -0.13910675
           0.35          -0.078           0.002      0.19422399    -0.037056076     0.014022026     -0.13965637
           0.35          -0.078           0.006      0.17932607    -0.034964062     0.022826765     -0.14045961
           0.35          -0.078            0.01      0.15914445    -0.032431274     0.030716447     -0.14141399
           0.35          -0.078           0.014      0.13437056     -0.02969936     0.037549445     -0.14256004
           0.35          -0.078           0.018      0.10610617    -0.027082431     0.043229639     -0.14382002
           0.35          -0.078           0.022     0.075229629    -0.024884894      0.04776525     -0.14510781
           0.35          -0.078           0.026      0.04247226    -0.023303816     0.051206131     -0.14642457
           0.35          -0.078            0.03    0.0085138273    -0.022524662     0.053622369     -0.14770894
           0.35          -0.078           0.034    -0.026108953    -0.022640077     0.055119211     -0.14893367
           0.35          -0.078           0.038    -0.060966331    -0.023684352     0.055818015     -0.15005761
           0.35          -0.078           0.042    -0.095738751    -0.025611983     0.055849621     -0.15104291
           0.35          -0.078           0.046     -0.13018888    -0.028308683      0.05534054     -0.15184759
           0.35          -0.078            0.05     -0.16414243    -0.031611902     0.054401413     -0.15243693
           0.35          -0.078           0.054     -0.19747824    -0.035307964     0.053120384     -0.15277018
           0.35          -0.078           0.058      -0.2301012    -0.039152832     0.051564279     -0.15281028
           0.35          -0.078           0.062     -0.26190786    -0.042892126     0.049772498      -0.1525288
           0.35          -0.078           0.066     -0.29275935    -0.046280373     0.047753888     -0.15190827
           0.35          -0.078            0.07     -0.32245988    -0.049098811     0.045483778      -0.1509461
           0.35          -0.078           0.074     -0.35073534    -0.051174497     0.042897601     -0.14965723
           0.35          -0.078           0.078     -0.37721289    -0.052403656     0.039879925     -0.14807639
           0.35          -0.078           0.082     -0.40139446     -0.05278183     0.036237115      -0.1462592
           0.35          -0.078           0.086     -0.42261922     -0.05244084     0.031671458     -0.14425236
           0.35          -0.078            0.09     -0.43993673    -0.051643609     0.025606988      -0.1420752
           0.35          -0.078           0.094       -0.450552    -0.050552685      0.01796547     -0.13940938
           0.35          -0.078           0.098     -0.43072743     -0.04586434    0.0067743419     -0.13732955
           0.35          -0.074          -0.098     -0.43140316    -0.050615027   -0.0072150931     -0.13861316
           0.35          -0.074          -0.094     -0.42057154    -0.053530168    -0.014528569     -0.14112782
           0.35          -0.074           -0.09     -0.39222485    -0.053623324    -0.020838441     -0.14360319
           0.35          -0.074          -0.086     -0.36152896    -0.052932356    -0.026254346     -0.14560498
           0.35          -0.074          -0.082     -0.32888765    -0.051603218    -0.031003247     -0.14731575
           0.35          -0.074          -0.078      -0.2943649     -0.04958183    -0.035402763     -0.14872098
           0.35          -0.074          -0.074      -0.2581388    -0.046899273    -0.039585186     -0.14979816
           0.35          -0.074           -0.07     -0.22041298     -0.04367999    -0.043597425     -0.15052519
           0.35          -0.074          -0.066     -0.18139747     -0.04013493    -0.047422682     -0.15089534
           0.35          -0.074          -0.062     -0.14128281    -0.036533163    -0.050998367      -0.1509189
           0.35          -0.074          -0.058     -0.10023843    -0.033168795    -0.054226036      -0.1506201
           0.35          -0.074          -0.054    -0.058427969    -0.030328113    -0.056978874     -0.15003409
           0.35          -0.074           -0.05    -0.016038817    -0.028258186    -0.059109593     -0.14920319
           0.35          -0.074          -0.046      0.02668241    -0.027138943    -0.060454473      -0.1481681
           0.35          -0.074          -0.042     0.069403501    -0.027059132    -0.060840256     -0.14696772
           0.35          -0.074          -0.038      0.11166631    -0.028000428    -0.060105936      -0.1456677
           0.35          -0.074          -0.034      0.15288753    -0.029886191    -0.058112133      -0.1442984
           0.35          -0.074           -0.03      0.19216928     -0.03248586    -0.054724153     -0.14287857
